stress,branching_ratio,mean_cascade,roll_variance,lag1_autocorr
0.1000,0.6700,3.100,0.0000,
0.1088,0.6762,3.267,0.0069,
0.1176,0.6823,2.833,0.0319,
0.1264,0.6885,3.000,0.0247,
0.1353,0.6947,2.700,0.0394,
0.1441,0.7008,3.367,0.0536,
0.1529,0.7070,3.192,0.0486,
0.1617,0.7132,3.700,0.0865,
0.1705,0.7194,3.525,0.0912,
0.1793,0.7255,5.308,0.4871,
0.1881,0.7317,3.950,0.4679,
0.1969,0.7379,4.042,0.4557,
0.2058,0.7440,4.133,0.4492,0.4278
0.2146,0.7502,3.767,0.4349,0.4354
0.2234,0.7564,4.108,0.4422,0.3858
0.2322,0.7625,3.767,0.3849,0.3199
0.2410,0.7687,3.933,0.3412,0.1608
0.2498,0.7749,4.358,0.2540,0.0247
0.2586,0.7811,4.825,0.2776,-0.0340
0.2675,0.7872,3.008,0.3041,-0.3062
0.2763,0.7934,3.158,0.3526,-0.0983
0.2851,0.7996,5.400,0.4678,-0.1493
0.2939,0.8057,5.100,0.4333,0.0912
0.3027,0.8119,4.458,0.4384,0.1442
0.3115,0.8181,7.375,1.1676,0.1108
0.3203,0.8242,6.900,1.5913,0.4164
0.3292,0.8304,4.400,1.5359,0.3796
0.3380,0.8366,5.333,1.5354,0.3373
0.3468,0.8427,8.200,2.2463,0.2424
0.3556,0.8489,5.942,2.1687,0.2991
0.3644,0.8551,8.208,2.6835,0.2733
0.3732,0.8613,5.342,2.6439,0.2018
0.3820,0.8674,6.942,2.1730,-0.0484
0.3908,0.8736,8.392,1.9067,-0.0663
0.3997,0.8798,4.383,2.1219,-0.2389
0.4085,0.8859,8.250,2.2794,-0.4414
0.4173,0.8921,6.092,1.9631,-0.4738
0.4261,0.8983,8.475,2.1807,-0.4653
0.4349,0.9044,10.400,3.1682,-0.1615
0.4437,0.9106,9.517,3.0193,-0.0948
0.4525,0.9168,8.867,2.8127,0.0252
0.4614,0.9229,12.300,4.3747,0.1286
0.4702,0.9291,12.767,5.5929,0.3825
0.4790,0.9353,15.342,8.9338,0.4699
0.4878,0.9415,14.783,9.9422,0.6108
0.4966,0.9476,12.975,9.9374,0.6925
0.5054,0.9538,21.425,18.3821,0.4249
0.5142,0.9600,25.225,27.3745,0.5808
0.5231,0.9661,28.892,43.1753,0.6336
0.5319,0.9723,13.442,37.6287,0.5816
0.5407,0.9785,15.258,34.1340,0.5600
0.5495,0.9846,29.850,45.8060,0.3297
0.5583,0.9908,34.417,61.2690,0.4106
0.5671,0.9970,42.092,88.4290,0.4979
0.5759,1.0032,21.625,81.4858,0.4564
0.5847,1.0093,47.367,116.4850,0.2349
0.5936,1.0155,37.258,118.6248,0.3276
0.6024,1.0217,54.142,157.6222,0.2723
0.6112,1.0278,50.858,163.0058,0.4095
0.6200,1.0340,76.492,284.9182,0.4060
